MovieID,Genre
1,Drama
2,Drama
2,Crime
3,Drama
3,Crime
3,Action
4,Drama
4,Crime
5,Drama
5,Crime
6,History
6,Drama
6,Biography
7,Drama
7,Adventure
7,Action
8,Drama
8,Crime
9,Drama
9,Adventure
9,Action
10,Western
10,Adventure
11,Romance
11,Drama
12,Drama
13,Sci-Fi
13,Adventure
13,Action
14,Drama
14,Adventure
14,Action
15,Fantasy
15,Adventure
15,Action
16,Sci-Fi
16,Action
17,Drama
17,Crime
17,Biography
18,Drama
19,Mystery
19,Drama
19,Crime
20,Drama
20,Action
21,Fantasy
21,Family
21,Drama
22,Thriller
22,Drama
22,Crime
23,Drama
23,Crime
24,War
24,Drama
25,Romance
25,Drama
25,Comedy
26,Fantasy
26,Drama
26,Crime
27,Sci-Fi
27,Drama
27,Adventure
28,Fantasy
28,Adventure
28,Action
29,Sci-Fi
29,Action
30,Sci-Fi
30,Comedy
30,Adventure
31,Family
31,Adventure
31,Animation
32,Thriller
32,Mystery
32,Horror
33,Music
33,Drama
33,Biography
34,Drama
34,Crime
34,Action
35,Thriller
35,Drama
35,Comedy
36,Drama
36,Adventure
36,Animation
37,Drama
37,Adventure
37,Action
38,Drama
38,Crime
39,Mystery
39,Drama
39,Crime
40,Thriller
40,Drama
40,Crime
41,Sci-Fi
41,Mystery
41,Drama
42,War
42,Romance
42,Drama
43,Music
43,Drama
44,Drama
44,Comedy
44,Biography
45,Drama
45,Action
46,Romance
46,Drama
46,Comedy
47,Mystery
47,Drama
47,Action
48,War
48,Drama
48,Animation
49,Western
50,Thriller
50,Mystery
51,Sci-Fi
51,Horror
52,Romance
52,Drama
52,Comedy
53,Romance
53,Drama
54,Thriller
54,Mystery
55,War
55,Mystery
55,Drama
56,Adventure
56,Action
57,Western
57,Drama
58,Family
58,Adventure
58,Animation
59,Thriller
59,Mystery
59,Drama
60,Film-Noir
60,Drama
61,War
61,Drama
62,Horror
62,Drama
63,War
63,Drama
63,Comedy
64,Mystery
64,Drama
64,Crime
65,Sci-Fi
65,Adventure
65,Action
66,Sci-Fi
66,Adventure
66,Action
67,Drama
68,War
68,Comedy
69,Adventure
69,Action
69,Animation
70,Drama
70,Action
71,Mystery
71,Drama
71,Action
72,Thriller
72,Drama
72,Crime
73,Music
73,Drama
73,Biography
74,History
74,Drama
74,Biography
75,Comedy
75,Adventure
75,Animation
76,Comedy
76,Adventure
76,Animation
77,War
77,Drama
78,War
78,Drama
78,Adventure
79,Fantasy
79,Adventure
79,Animation
80,Drama
80,Adventure
80,Action
81,Drama
81,Crime
82,Romance
82,Drama
83,Comedy
83,Adventure
83,Animation
84,Drama
85,Fantasy
85,Drama
85,Animation
86,Romance
86,Musical
86,Comedy
87,Drama
87,Comedy
88,Fantasy
88,Adventure
88,Action
89,Sci-Fi
89,Adventure
90,Sci-Fi
90,Romance
90,Drama
91,Thriller
91,Drama
91,Crime
92,Mystery
92,Drama
92,Crime
93,Drama
94,Mystery
94,Drama
95,Drama
95,Biography
95,Adventure
96,Drama
97,Thriller
97,Mystery
97,Crime
98,Mystery
98,Adventure
98,Action
99,Thriller
99,Romance
99,Mystery
100,Romance
100,Comedy
101,War
101,Thriller
101,Drama
102,Sci-Fi
102,Crime
103,War
103,Drama
104,Film-Noir
104,Drama
104,Crime
105,Romance
105,Drama
105,Comedy
106,Drama
106,Crime
107,Drama
108,Drama
108,Crime
108,Comedy
109,Drama
109,Crime
110,Drama
110,Crime
111,Comedy
111,Adventure
111,Animation
112,Mystery
112,Drama
112,Crime
113,Drama
113,Crime
113,Action
114,Sci-Fi
114,Drama
115,Drama
116,Thriller
116,Action
117,Crime
117,Comedy
118,Mystery
118,Drama
119,History
119,Drama
119,Biography
120,Drama
121,Adventure
121,Action
122,War
122,Drama
122,Action
123,Family
123,Drama
124,History
124,Drama
124,Biography
125,Western
126,Drama
126,Crime
126,Action
127,Fantasy
127,Adventure
127,Action
128,Drama
128,Biography
128,Action
129,Family
129,Drama
129,Comedy
130,Romance
130,Music
130,Comedy
131,Drama
132,Mystery
132,Drama
133,Drama
133,Comedy
133,Biography
134,Crime
134,Comedy
134,Biography
135,War
135,Drama
136,War
136,Drama
136,Action
137,Western
137,Drama
138,Drama
138,Crime
139,War
139,Fantasy
139,Drama
140,Drama
141,Thriller
141,Mystery
141,Drama
142,Drama
142,Biography
143,Drama
143,Comedy
144,Fantasy
144,Comedy
144,Adventure
145,Thriller
145,Drama
145,Action
146,Western
146,Drama
146,Adventure
147,Thriller
147,Mystery
148,Mystery
148,Drama
148,Crime
149,Sci-Fi
149,Adventure
149,Action
150,History
150,Drama
150,Adventure
151,Drama
151,Crime
151,Action
152,Comedy
152,Adventure
152,Action
153,Thriller
153,Drama
153,Crime
154,Comedy
154,Adventure
154,Animation
155,Drama
155,Biography
156,Thriller
156,Mystery
156,Drama
157,Sport
157,Drama
157,Biography
158,War
158,Romance
158,Drama
159,Sci-Fi
159,Drama
159,Action
160,Sci-Fi
160,Mystery
160,Horror
161,Comedy
161,Adventure
161,Animation
162,Crime
162,Comedy
162,Action
163,Thriller
163,Crime
164,Romance
164,Mystery
164,Drama
165,War
165,Drama
165,Adventure
166,Family
166,Adventure
166,Animation
167,Drama
167,Crime
167,Comedy
168,Drama
169,Sport
169,Drama
169,Action
170,Drama
171,Thriller
171,Crime
172,Mystery
172,Drama
172,Crime
173,Family
173,Comedy
173,Animation
174,Sport
174,Drama
175,Drama
175,Comedy
175,Adventure
176,Drama
176,Crime
176,Biography
177,Sci-Fi
177,Drama
177,Action
178,Thriller
178,Drama
178,Crime
179,Thriller
179,Mystery
179,Film-Noir
180,Sport
180,Family
180,Drama
181,History
181,Drama
181,Adventure
182,Comedy
182,Adventure
182,Action
183,Romance
183,Drama
184,History
184,Drama
184,Biography
185,Romance
185,Drama
186,Thriller
186,Mystery
186,Drama
187,Mystery
187,Fantasy
187,Adventure
188,War
188,Drama
189,Drama
189,Crime
189,Biography
190,Crime
190,Comedy
190,Adventure
191,Drama
191,Comedy
192,Thriller
192,Drama
192,Adventure
193,War
193,Drama
193,Adventure
194,Romance
194,Comedy
194,Action
195,Mystery
195,Drama
195,Crime
196,Comedy
196,Adventure
196,Animation
197,History
197,Drama
197,Biography
198,Fantasy
198,Drama
199,Thriller
199,Drama
200,Thriller
200,Drama
200,Comedy
201,Crime
201,Comedy
202,Sci-Fi
202,Adventure
202,Action
203,Adventure
203,Action
203,Animation
204,Drama
204,Comedy
204,Animation
205,Comedy
205,Adventure
205,Animation
206,Thriller
206,Adventure
207,History
207,Drama
207,Biography
208,Drama
209,Drama
209,Comedy
210,History
210,Drama
210,Biography
211,Sport
211,Drama
212,Drama
213,War
213,Drama
214,Drama
214,Biography
214,Action
215,Drama
215,Adventure
216,Sci-Fi
216,Action
217,Drama
217,Crime
217,Biography
218,Drama
218,Biography
218,Action
219,Drama
220,Drama
220,Biography
220,Adventure
221,Sci-Fi
221,Drama
221,Action
222,Fantasy
222,Family
222,Adventure
223,Comedy
223,Adventure
223,Animation
224,Fantasy
224,Drama
224,Comedy
225,Romance
225,Drama
226,Horror
227,War
227,Romance
227,Drama
228,Adventure
228,Action
228,Animation
229,War
229,Romance
229,Comedy
230,Drama
231,Mystery
231,Film-Noir
231,Drama
232,War
232,Drama
233,Family
233,Drama
233,Biography
234,Drama
234,Crime
235,Thriller
235,Drama
236,Fantasy
236,Adventure
236,Action
237,Drama
237,Crime
238,Drama
238,Crime
239,Thriller
239,Drama
240,Family
240,Drama
241,Romance
241,Comedy
242,Comedy
243,Family
243,Drama
243,Biography
244,Drama
244,Biography
244,Adventure
245,Thriller
245,Romance
245,Drama
246,Comedy
246,Adventure
246,Animation
247,Drama
247,Biography
248,Mystery
248,Drama
248,Crime
249,Drama
250,Fantasy
250,Family
250,Animation
